    672.82    23.447		0.15319E-02
    673.94    23.430		0.15562E-02
    675.07    23.413		0.15803E-02
    676.20    23.397		0.16045E-02
    677.33    23.380		0.16288E-02
    678.46    23.364		0.16531E-02
    679.59    23.348		0.16775E-02
    680.72    23.333		0.17018E-02
    681.86    23.317		0.17262E-02
    683.00    23.302		0.17508E-02
    684.14    23.274		0.17970E-02
    685.28    23.246		0.18436E-02
    686.42    23.219		0.18902E-02
    687.57    23.192		0.19369E-02
    688.72    23.166		0.19837E-02
    689.87    23.141		0.20305E-02
    691.02    23.116		0.20774E-02
    692.17    23.092		0.21242E-02
    693.33    23.068		0.21711E-02
    694.48    23.045		0.22181E-02
    695.64    23.022		0.22652E-02
    696.80    23.000		0.23123E-02
    697.97    22.978		0.23594E-02
    699.13    22.956		0.24067E-02
    700.30    22.935		0.24539E-02
    701.47    22.915		0.25013E-02
    702.64    22.894		0.25488E-02
    703.81    22.874		0.25962E-02
    704.99    22.854		0.26437E-02
    706.16    22.835		0.26914E-02
    707.34    22.816		0.27390E-02
    708.52    22.797		0.27868E-02
    709.71    22.779		0.28346E-02
    710.89    22.761		0.28824E-02
    712.08    22.743		0.29303E-02
    713.27    22.725		0.29784E-02
    714.46    22.708		0.30265E-02
    715.65    22.690		0.30747E-02
    716.84    22.674		0.31228E-02
    718.04    22.657		0.31712E-02
    719.24    22.641		0.32195E-02
    720.44    22.624		0.32680E-02
    721.64    22.608		0.33165E-02
    722.85    22.593		0.33650E-02
    724.05    22.577		0.34137E-02
    725.26    22.562		0.34624E-02
    726.47    22.546		0.35113E-02
    727.68    22.531		0.35601E-02
    728.90    22.515		0.36133E-02
    730.12    22.490		0.36985E-02
    731.33    22.465		0.37837E-02
    732.56    22.441		0.38690E-02
    733.78    22.417		0.39544E-02
    735.00    22.394		0.40399E-02
    736.23    22.371		0.41256E-02
    737.46    22.349		0.42113E-02
    738.69    22.327		0.42971E-02
    739.92    22.306		0.43831E-02
    741.16    22.284		0.44690E-02
    742.40    22.264		0.45551E-02
    743.63    22.243		0.46415E-02
    744.88    22.223		0.47277E-02
    746.12    22.204		0.48142E-02
    747.36    22.184		0.49008E-02
    748.61    22.165		0.49875E-02
    749.86    22.147		0.50743E-02
    751.11    22.128		0.51613E-02
    752.37    22.110		0.52483E-02
    753.62    22.092		0.53356E-02
    754.88    22.074		0.54228E-02
    756.14    22.057		0.55103E-02
    757.40    22.040		0.55979E-02
    758.67    22.023		0.56855E-02
    759.93    22.006		0.57733E-02
    761.20    21.990		0.58613E-02
    762.47    21.974		0.59493E-02
    763.75    21.958		0.60375E-02
    765.02    21.942		0.61260E-02
    766.30    21.927		0.62144E-02
    767.58    21.911		0.63028E-02
    768.86    21.896		0.63916E-02
    770.14    21.881		0.64806E-02
    771.43    21.866		0.65696E-02
    772.71    21.852		0.66586E-02
    774.00    21.837		0.67479E-02
    775.30    21.817		0.68708E-02
    776.59    21.795		0.70149E-02
    777.89    21.773		0.71594E-02
    779.18    21.751		0.73041E-02
    780.49    21.730		0.74488E-02
    781.79    21.709		0.75940E-02
    783.09    21.688		0.77390E-02
    784.40    21.668		0.78844E-02
    785.71    21.648		0.80301E-02
    787.02    21.629		0.81757E-02
    788.34    21.609		0.83215E-02
    789.65    21.591		0.84677E-02
    790.97    21.572		0.86140E-02
    792.29    21.554		0.87605E-02
    793.61    21.536		0.89071E-02
    794.94    21.518		0.90540E-02
    796.26    21.500		0.92012E-02
    797.59    21.483		0.93484E-02
    798.92    21.466		0.94960E-02
    800.26    21.449		0.96436E-02
    801.59    21.433		0.97915E-02
    802.93    21.417		0.99396E-02
    804.27    21.400		0.10088E-01
    805.61    21.385		0.10237E-01
    806.96    21.369		0.10385E-01
    808.31    21.353		0.10535E-01
    809.66    21.338		0.10684E-01
    811.01    21.323		0.10833E-01
    812.36    21.308		0.10983E-01
    813.72    21.294		0.11132E-01
    815.07    21.279		0.11282E-01
    816.44    21.265		0.11433E-01
    817.80    21.250		0.11584E-01
    819.16    21.236		0.11734E-01
    820.53    21.221		0.11901E-01
    821.90    21.200		0.12130E-01
    823.27    21.180		0.12359E-01
    824.65    21.160		0.12589E-01
    826.02    21.140		0.12820E-01
    827.40    21.121		0.13050E-01
    828.78    21.102		0.13280E-01
    830.17    21.083		0.13511E-01
    831.55    21.065		0.13742E-01
    832.94    21.047		0.13973E-01
    834.33    21.029		0.14205E-01
    835.72    21.011		0.14437E-01
    837.12    20.994		0.14669E-01
    838.52    20.977		0.14903E-01
    839.91    20.960		0.15136E-01
    841.32    20.943		0.15369E-01
    842.72    20.927		0.15602E-01
    844.13    20.911		0.15836E-01
    845.54    20.895		0.16070E-01
    846.95    20.879		0.16306E-01
    848.36    20.864		0.16540E-01
    849.78    20.848		0.16776E-01
    851.20    20.833		0.17012E-01
    852.62    20.818		0.17247E-01
    854.04    20.803		0.17484E-01
    855.47    20.789		0.17720E-01
    856.89    20.774		0.17958E-01
    858.32    20.760		0.18196E-01
    859.76    20.746		0.18433E-01
    861.19    20.732		0.18671E-01
    862.63    20.718		0.18909E-01
    864.07    20.705		0.19149E-01
    865.51    20.691		0.19388E-01
    866.96    20.679		0.19601E-01
    868.40    20.668		0.19800E-01
    869.85    20.657		0.19999E-01
    871.31    20.647		0.20199E-01
    872.76    20.636		0.20399E-01
    874.22    20.625		0.20599E-01
    875.68    20.615		0.20800E-01
    877.14    20.604		0.21000E-01
    878.60    20.594		0.21201E-01
    880.07    20.584		0.21402E-01
    881.54    20.574		0.21603E-01
    883.01    20.564		0.21805E-01
    884.48    20.554		0.22008E-01
    885.96    20.544		0.22209E-01
    887.44    20.534		0.22411E-01
    888.92    20.524		0.22615E-01
    890.40    20.514		0.22818E-01
    891.89    20.505		0.23021E-01
    893.38    20.495		0.23225E-01
    894.87    20.486		0.23429E-01
    896.36    20.476		0.23634E-01
    897.86    20.467		0.23837E-01
    899.36    20.458		0.24042E-01
    900.86    20.448		0.24247E-01
    902.36    20.439		0.24453E-01
    903.87    20.430		0.24659E-01
    905.38    20.421		0.24865E-01
    906.89    20.412		0.25071E-01
    908.40    20.403		0.25278E-01
    909.92    20.394		0.25485E-01
    911.44    20.386		0.25692E-01
    912.96    20.377		0.25899E-01
    914.48    20.369		0.26096E-01
    916.01    20.341		0.26778E-01
    917.54    20.256		0.28941E-01
    919.07    20.086		0.33845E-01
    920.60    19.960		0.38003E-01
    922.14    19.599		0.52997E-01
    923.68    19.794		0.44305E-01
    925.22    19.435		0.61687E-01
    926.77    19.691		0.48721E-01
    928.31    19.122		0.82280E-01
    929.86    19.388		0.64416E-01
    931.42    19.554		0.55233E-01
    932.97    18.996		0.92367E-01
    934.53    18.876		0.10322E+00
    936.09    19.054		0.87591E-01
    937.65    19.894		0.40404E-01
    939.21    19.093		0.84469E-01
    940.78    18.759		0.11488E+00
    942.35    18.534		0.14136E+00
    943.93    18.452		0.15243E+00
    945.50    18.553		0.13888E+00
    947.08    18.776		0.11318E+00
    948.66    19.149		0.80258E-01
    950.24    19.437		0.61568E-01
    951.83    18.847		0.10593E+00
    953.42    18.529		0.14201E+00
    955.01    18.219		0.18895E+00
    956.60    17.916		0.24973E+00
    958.20    17.659		0.31658E+00
    959.80    17.479		0.37355E+00
    961.40    17.423		0.39346E+00
    963.01    17.493		0.36880E+00
    964.62    17.672		0.31289E+00
    966.23    17.928		0.24698E+00
    967.84    18.213		0.19002E+00
    969.45    18.496		0.14644E+00
    971.07    18.818		0.10886E+00
    972.69    19.401		0.63616E-01
    974.32    18.778		0.11290E+00
    975.94    18.367		0.16487E+00
    977.57    18.039		0.22305E+00
    979.20    17.698		0.30543E+00
    980.84    17.360		0.41669E+00
    982.48    17.005		0.57801E+00
    984.12    16.698		0.76668E+00
    985.76    16.381		0.10272E+01
    987.40    16.122		0.13033E+01
    989.05    15.881		0.16271E+01
    990.70    15.687		0.19455E+01
    992.36    15.529		0.22501E+01
    994.01    15.412		0.25073E+01
    995.67    15.327		0.27120E+01
    997.33    15.288		0.28113E+01
    999.00    15.268		0.28629E+01
   1000.67    15.306		0.27640E+01
   1002.34    15.359		0.26332E+01
   1004.01    15.462		0.23941E+01
   1005.69    15.590		0.21290E+01
   1007.36    15.762		0.18164E+01
   1009.05    15.959		0.15151E+01
   1010.73    16.194		0.12206E+01
   1012.42    16.445		0.96871E+00
   1014.11    16.744		0.73499E+00
   1015.80    17.013		0.57395E+00
   1017.50    17.317		0.43369E+00
   1019.19    17.607		0.33218E+00
   1020.90    17.873		0.25998E+00
   1022.60    18.138		0.20368E+00
   1024.31    18.496		0.14648E+00
   1026.02    18.737		0.11728E+00
   1027.73    18.095		0.21183E+00
   1029.44    17.699		0.30495E+00
   1031.16    17.411		0.39779E+00
   1032.88    17.183		0.49059E+00
   1034.61    16.995		0.58345E+00
   1036.33    16.825		0.68251E+00
   1038.06    16.330		0.10761E+01
   1039.80    15.993		0.14680E+01
   1041.53    15.736		0.18598E+01
   1043.27    15.529		0.22519E+01
   1045.01    15.354		0.26444E+01
   1046.76    15.204		0.30374E+01
   1048.51    14.991		0.36960E+01
   1050.26    14.814		0.43483E+01
   1052.01    14.664		0.49925E+01
   1053.76    14.533		0.56318E+01
   1055.52    14.417		0.62679E+01
   1057.29    14.313		0.69017E+01
   1059.05    14.223		0.74937E+01
   1060.82    14.142		0.80763E+01
   1062.59    14.067		0.86533E+01
   1064.36    13.997		0.92258E+01
   1066.14    13.933		0.97948E+01
   1067.92    13.872		0.10359E+02
   1069.70    13.831		0.10752E+02
   1071.49    13.793		0.11141E+02
   1073.28    13.756		0.11529E+02
   1075.07    13.720		0.11915E+02
   1076.86    13.685		0.12300E+02
   1078.66    13.653		0.12665E+02
   1080.46    13.637		0.12857E+02
   1082.26    13.621		0.13049E+02
   1084.07    13.605		0.13239E+02
   1085.88    13.590		0.13431E+02
   1087.69    13.574		0.13621E+02
   1089.51    13.560		0.13810E+02
   1091.32    13.545		0.13993E+02
   1093.15    13.531		0.14175E+02
   1094.97    13.517		0.14358E+02
   1096.80    13.504		0.14538E+02
   1098.63    13.490		0.14720E+02
   1100.46    13.481		0.14846E+02
   1102.30    13.476		0.14910E+02
   1104.14    13.472		0.14974E+02
   1105.98    13.467		0.15039E+02
   1107.83    13.462		0.15103E+02
   1109.68    13.458		0.15168E+02
   1111.53    13.456		0.15195E+02
   1113.39    13.455		0.15208E+02
   1115.24    13.454		0.15223E+02
   1117.11    13.453		0.15236E+02
   1118.97    13.452		0.15249E+02
   1120.84    13.451		0.15259E+02
   1122.71    13.453		0.15228E+02
   1124.58    13.456		0.15195E+02
   1126.46    13.458		0.15164E+02
   1128.34    13.460		0.15133E+02
   1130.22    13.463		0.15100E+02
   1132.11    13.466		0.15048E+02
   1134.00    13.472		0.14967E+02
   1135.90    13.478		0.14887E+02
   1137.79    13.484		0.14807E+02
   1139.69    13.490		0.14726E+02
   1141.59    13.496		0.14644E+02
   1143.50    13.506		0.14509E+02
   1145.41    13.517		0.14366E+02
   1147.32    13.528		0.14222E+02
   1149.23    13.539		0.14079E+02
   1151.15    13.550		0.13935E+02
   1153.07    13.564		0.13758E+02
   1155.00    13.583		0.13520E+02
   1156.93    13.602		0.13280E+02
   1158.86    13.622		0.13040E+02
   1160.40    13.688		0.12263E+02
   1161.60    13.604		0.13261E+02
   1162.80    13.645		0.12760E+02
   1164.00    13.662		0.12570E+02
   1165.20    13.776		0.11314E+02
   1166.40    13.841		0.10656E+02
   1167.60    13.834		0.10726E+02
   1168.80    13.784		0.11228E+02
   1169.80    13.871		0.10361E+02
   1171.00    14.043		0.88446E+01
   1172.20    13.976		0.94109E+01
   1173.40    13.989		0.93020E+01
   1174.60    14.001		0.91927E+01
   1175.80    14.049		0.87968E+01
   1177.00    14.098		0.84101E+01
   1178.20    14.192		0.77146E+01
   1179.40    14.273		0.71588E+01
   1180.60    14.306		0.69448E+01
   1181.60    14.366		0.65713E+01
   1182.80    14.512		0.57433E+01
   1184.00    14.546		0.55682E+01
   1185.20    14.436		0.61592E+01
   1186.40    14.614		0.52289E+01
   1187.60    14.723		0.47287E+01
   1188.80    14.780		0.44859E+01
   1190.00    14.820		0.43268E+01
   1191.20    14.972		0.37586E+01
   1192.40    15.158		0.31686E+01
   1193.40    15.207		0.30293E+01
   1194.60    15.235		0.29500E+01
   1195.80    15.261		0.28802E+01
   1197.00    15.287		0.28138E+01
   1198.20    15.417		0.24957E+01
   1199.40    15.597		0.21136E+01
   1200.16    15.475		0.23653E+01
   1202.17    15.718		0.18920E+01
   1204.17    16.031		0.14177E+01
   1206.18    16.294		0.11124E+01
   1208.20    16.463		0.95208E+00
   1210.21    16.665		0.79100E+00
   1212.23    16.914		0.62882E+00
   1214.26    17.242		0.46456E+00
   1216.29    17.440		0.38716E+00
   1218.31    17.116		0.52209E+00
   1220.35    16.912		0.63007E+00
   1222.39    16.736		0.74048E+00
   1224.43    16.539		0.88761E+00
   1225.40    16.408		0.10018E+01
   1226.60    16.619		0.82509E+00
   1227.80    16.404		0.10057E+01
   1228.80    16.249		0.11595E+01
   1230.00    16.238		0.11721E+01
   1231.20    16.365		0.10424E+01
   1232.40    15.949		0.15296E+01
   1233.60    15.747		0.18420E+01
   1234.80    15.640		0.20318E+01
   1236.00    15.418		0.24938E+01
   1237.20    15.245		0.29249E+01
   1238.40    15.089		0.33746E+01
   1239.60    14.938		0.38813E+01
   1240.60    14.752		0.46028E+01
   1241.80    14.622		0.51885E+01
   1243.00    14.582		0.53847E+01
   1244.20    14.532		0.56398E+01
   1245.40    14.440		0.61382E+01
   1246.60    14.356		0.66306E+01
   1247.80    14.315		0.68881E+01
   1249.00    14.281		0.71039E+01
   1250.20    14.147		0.80414E+01
   1251.40    14.143		0.80662E+01
